"filename", "language", "JavaScript", "XML", "comment", "blank", "total"
"d:\Java\Brain\my-app\src\api\argMiddle.js", "JavaScript", 6, 0, 1, 0, 7
"d:\Java\Brain\my-app\src\api\category\catView.js", "JavaScript", 35, 0, 20, 11, 66
"d:\Java\Brain\my-app\src\api\category\catView.spec.js", "JavaScript", 56, 0, 7, 25, 88
"d:\Java\Brain\my-app\src\api\category\category.js", "JavaScript", 40, 0, 12, 16, 68
"d:\Java\Brain\my-app\src\api\category\category.spec.js", "JavaScript", 54, 0, 11, 18, 83
"d:\Java\Brain\my-app\src\api\category\symbChildren.js", "JavaScript", 17, 0, 16, 8, 41
"d:\Java\Brain\my-app\src\api\category\symbChildren.spec.js", "JavaScript", 23, 0, 2, 6, 31
"d:\Java\Brain\my-app\src\api\dev.js", "JavaScript", 17, 0, 9, 11, 37
"d:\Java\Brain\my-app\src\api\fetch\fetchData.js", "JavaScript", 23, 0, 14, 9, 46
"d:\Java\Brain\my-app\src\api\fetch\fetchData.spec.js", "JavaScript", 48, 0, 1, 19, 68
"d:\Java\Brain\my-app\src\api\fetch\middleWareFetch.js", "JavaScript", 27, 0, 20, 16, 63
"d:\Java\Brain\my-app\src\api\fetch\middleWareFetch.spec.js", "JavaScript", 49, 0, 3, 25, 77
"d:\Java\Brain\my-app\src\api\footer\buttonView.js", "JavaScript", 4, 0, 2, 0, 6
"d:\Java\Brain\my-app\src\api\header\sort.js", "JavaScript", 9, 0, 3, 4, 16
"d:\Java\Brain\my-app\src\api\products\products.js", "JavaScript", 39, 0, 21, 14, 74
"d:\Java\Brain\my-app\src\api\sid\sid.js", "JavaScript", 13, 0, 6, 7, 26
"d:\Java\Brain\my-app\src\api\sid\sid.spec.js", "JavaScript", 17, 0, 8, 10, 35
"d:\Java\Brain\my-app\src\api\sid\timeStamp.js", "JavaScript", 7, 0, 26, 12, 45
"d:\Java\Brain\my-app\src\api\sid\timeStamp.spec.js", "JavaScript", 6, 0, 19, 6, 31
"d:\Java\Brain\my-app\src\components\AlertMessageCmp.js", "JavaScript", 17, 0, 0, 5, 22
"d:\Java\Brain\my-app\src\components\AlertMessageCmp.spec.js", "JavaScript", 9, 0, 15, 17, 41
"d:\Java\Brain\my-app\src\components\AppNavigator.js", "JavaScript", 31, 0, 2, 11, 44
"d:\Java\Brain\my-app\src\components\ListProdCmp.js", "JavaScript", 36, 0, 6, 11, 53
"d:\Java\Brain\my-app\src\components\ListProdCmp.spec.js", "JavaScript", 20, 0, 9, 10, 39
"d:\Java\Brain\my-app\src\components\MenuSortCmp.js", "JavaScript", 18, 0, 9, 9, 36
"d:\Java\Brain\my-app\src\components\ProductCardCmp.js", "JavaScript", 39, 0, 4, 12, 55
"d:\Java\Brain\my-app\src\components\SpinerCmp.js", "JavaScript", 26, 0, 5, 4, 35
"d:\Java\Brain\my-app\src\components\SpinerCmp.spec.js", "JavaScript", 9, 0, 5, 6, 20
"d:\Java\Brain\my-app\src\components\footer\FooterBackCmp.js", "JavaScript", 45, 0, 4, 11, 60
"d:\Java\Brain\my-app\src\components\footer\FooterCmp.js", "JavaScript", 64, 0, 2, 12, 78
"d:\Java\Brain\my-app\src\components\header\HeaderBackCmp.js", "JavaScript", 45, 0, 4, 11, 60
"d:\Java\Brain\my-app\src\components\header\HeaderCmp.js", "JavaScript", 68, 0, 9, 19, 96
"d:\Java\Brain\my-app\src\components\header\HeaderCmp.spec.js", "JavaScript", 13, 0, 6, 9, 28
"d:\Java\Brain\my-app\src\constants\authorizConst.js", "JavaScript", 9, 0, 18, 3, 30
"d:\Java\Brain\my-app\src\constants\categoryConst.js", "JavaScript", 4, 0, 6, 8, 18
"d:\Java\Brain\my-app\src\constants\categoryJSON.js", "JavaScript", 1173, 0, 6, 2, 1181
"d:\Java\Brain\my-app\src\constants\errorConst.js", "JavaScript", 14, 0, 8, 6, 28
"d:\Java\Brain\my-app\src\constants\footerConst.js", "JavaScript", 7, 0, 7, 3, 17
"d:\Java\Brain\my-app\src\constants\headerConst.js", "JavaScript", 7, 0, 7, 4, 18
"d:\Java\Brain\my-app\src\constants\menuConst.js", "JavaScript", 1, 0, 6, 7, 14
"d:\Java\Brain\my-app\src\constants\otherConst.js", "JavaScript", 3, 0, 6, 3, 12
"d:\Java\Brain\my-app\src\constants\productsConst.js", "JavaScript", 4, 0, 18, 9, 31
"d:\Java\Brain\my-app\src\constants\productsJSON.js", "JavaScript", 40150, 0, 7, 4, 40161
"d:\Java\Brain\my-app\src\constants\sortConst.js", "JavaScript", 12, 0, 9, 3, 24
"d:\Java\Brain\my-app\src\constants\spinerConst.js", "JavaScript", 2, 0, 9, 2, 13
"d:\Java\Brain\my-app\src\constants\urlConst.js", "JavaScript", 9, 0, 30, 6, 45
"d:\Java\Brain\my-app\src\foundations\ComponentsConfig.js", "JavaScript", 11, 0, 4, 2, 17
"d:\Java\Brain\my-app\src\foundations\FoundationConfig.js", "JavaScript", 19, 0, 0, 4, 23
